# HONGLIANG LI, PhD Thesis, Fig.3.3
# t[s],T[K]
0, 273.15
0.32781267846944606, 273.42136817832437
0.6716162193032553, 273.5382013835511
1.1993146773272416, 273.64350499615676
1.846944603083952, 273.7149884704074
2.4386065105653913, 273.7595695618755
2.9663049685893776, 273.78570330514987
3.6299257567104513, 273.80261337432745
4.461450599657339, 273.8164488854727
5.356938892061679, 273.83259031514217
6.556253569388921, 273.83643351268256
7.8115362649914335, 273.8402767102229
9.730439748715021, 273.84411990776323
11.953169617361509, 273.84565718677936
13.80011422044546, 273.8479631053036
