# HONGLIANG LI, PhD Thesis, Fig.3.3
# t[s],T[K]
0, 273.15
-0.02402745995423341, 273.1508070714835
0.34439359267734554, 273.7019215987702
0.6006864988558352, 273.8218293620292
0.9050343249427918, 273.88639508070713
1.265446224256293, 273.94096848578016
1.5537757437070938, 273.98093774019986
2.1464530892448512, 274.0401229823213
2.7471395881006866, 274.07240584166027
3.3237986270022883, 274.0954650269024
3.90045766590389, 274.11160645657185
4.5411899313501145, 274.12236740968484
5.390160183066362, 274.13082244427363
6.631578947368421, 274.13312836279783
7.640732265446225, 274.13235972328977
8.665903890160184, 274.13850883935436
10.363844393592677, 274.13850883935436
12.061784897025172, 274.14542659492696
13.911899313501145, 274.14542659492696
