# Di Barba, 2018, Fig8a
# t[s], T[C]
0.502209722780233, 29.7229219143577
1.506629168340699, 145.59193954659952
3.8167938931297707, 264.48362720403026
7.131378063479309, 418.63979848866495
10.144636400160707, 554.6599496221662
12.454801124949778, 662.4685138539043
15.97026918441141, 781.360201511335
17.47689835275211, 811.5869017632242
20.49015668943351, 813.6020151133501
26.416231418240258, 823.6775818639799
52.02892728003214, 830.7304785894207
66.09079951787866, 831.7380352644836
75.33145841703495, 841.8136020151135
88.48935315387706, 869.0176322418135
98.7344314985938, 896.2216624685138
109.58216151064684, 921.4105793450881
120.53033346725593, 951.6372795969774
135.69706709521896, 998.9924433249371
154.17838489353153, 1044.3324937027708
169.94777018883084, 1088.6649874055415
183.206106870229, 1121.9143576826198
200.58256327842506, 1159.1939546599497
215.14664523905182, 1187.4055415617129
229.20851747689835, 1214.6095717884132
238.95138609883486, 1235.7682619647355
249.29690638810766, 1255.919395465995
