x, y
0.0003791469194312796, 599.7920150501673
0.004218009478672986, 598.3873327759197
0.00703001579778831, 599.7920150501673
0.009178515007898895, 595.1097408026756
0.011169036334913113, 589.4910117056857
0.013159557661927331, 578.2535535117057
0.015181674565560821, 552.9692725752509
0.016350710900473936, 519.7251254180602
0.01721958925750395, 475.24352006688963
0.017709320695102688, 434.5077341137124
0.018199052132701423, 381.5980351170569
0.018562401263823067, 337.1164297658863
0.019178515007898893, 103.00271739130436
0.019842022116903633, 43.53783444816054
0.02042654028436019, 1.397366220735786
