0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,2.199114857512855237e-01
1.000000000000000000e+03,6.283185307179586232e-01
1.500000000000000000e+03,1.130973355292325566e+00
2.000000000000000000e+03,1.319468914507713198e+00
2.500000000000000000e+03,1.413716694115406902e+00
3.000000000000000000e+03,1.470265361880023214e+00
4.000000000000000000e+03,1.533097214951819165e+00
8.000000000000000000e+03,1.648707824603923511e+00
1.590000000000000000e+04,1.782263211493332777e+00
2.390000000000000000e+04,1.871094885366237692e+00
3.990000000000000000e+04,1.990550804426336029e+00
7.970000000000000000e+04,2.103233449725294690e+00
1.594000000000000000e+05,2.223418218281025815e+00
2.391000000000000000e+05,2.343602986836756941e+00
3.188000000000000000e+05,2.443756960633199693e+00
3.587000000000000000e+05,2.479156426653849277e+00
3.985000000000000000e+05,2.553926331809286410e+00
4.770000000000000000e+05,2.637429864541703139e+00
5.570000000000000000e+05,2.729792688557242997e+00
