0.000000000000000000e+00,1.000000000000000000e+00
7.058823529411764497e+00,1.000000000000000000e+00
1.411764705882352899e+01,1.000000000000000000e+00
2.117647058823529349e+01,1.000000000000000000e+00
2.823529411764705799e+01,9.999999999999998890e-01
3.529411764705882604e+01,9.999999999999998890e-01
4.235294117647058698e+01,9.999999999999998890e-01
4.941176470588234793e+01,9.999999999999997780e-01
5.647058823529411598e+01,9.999999999999996669e-01
6.352941176470588402e+01,9.999999999999995559e-01
7.058823529411765207e+01,9.999999999999993339e-01
7.764705882352940591e+01,9.999999999999991118e-01
8.470588235294117396e+01,9.999999999999986677e-01
9.176470588235294201e+01,9.999999999999981126e-01
9.882352941176469585e+01,9.999999999999973355e-01
1.058823529411764639e+02,9.999999999999962252e-01
1.129411764705882320e+02,9.999999999999945599e-01
1.200000000000000000e+02,9.999999999999923395e-01
1.270588235294117680e+02,9.999999999999891198e-01
1.341176470588235361e+02,9.999999999999844569e-01
1.411764705882353041e+02,9.999999999999779066e-01
1.482352941176470438e+02,9.999999999999684697e-01
1.552941176470588118e+02,9.999999999999551470e-01
1.623529411764705799e+02,9.999999999999361622e-01
1.694117647058823479e+02,9.999999999999091838e-01
1.764705882352941160e+02,9.999999999998706590e-01
1.835294117647058840e+02,9.999999999998159250e-01
1.905882352941176521e+02,9.999999999997379874e-01
1.976470588235293917e+02,9.999999999996271871e-01
2.047058823529411598e+02,9.999999999994693134e-01
2.117647058823529278e+02,9.999999999992448263e-01
2.188235294117646959e+02,9.999999999989250821e-01
2.258823529411764639e+02,9.999999999984702237e-01
2.329411764705882320e+02,9.999999999978227416e-01
2.400000000000000000e+02,9.999999999969011455e-01
2.470588235294117680e+02,9.999999999955896390e-01
2.541176470588235361e+02,9.999999999937229100e-01
2.611764705882353041e+02,9.999999999910661463e-01
2.682352941176470722e+02,9.999999999872849488e-01
2.752941176470588402e+02,9.999999999819033647e-01
2.823529411764706083e+02,9.999999999742439361e-01
2.894117647058823195e+02,9.999999999633427672e-01
2.964705882352940876e+02,9.999999999478277335e-01
3.035294117647058556e+02,9.999999999257459526e-01
3.105882352941176237e+02,9.999999998943182034e-01
3.176470588235293917e+02,9.999999998495886500e-01
3.247058823529411598e+02,9.999999997859273515e-01
3.317647058823529278e+02,9.999999996953217174e-01
3.388235294117646959e+02,9.999999995663674257e-01
3.458823529411764639e+02,9.999999993828335709e-01
3.529411764705882320e+02,9.999999991216194095e-01
3.600000000000000000e+02,9.999999987498471299e-01
3.670588235294117680e+02,9.999999982207231630e-01
3.741176470588235361e+02,9.999999974676487824e-01
3.811764705882353041e+02,9.999999963958376981e-01
3.882352941176470722e+02,9.999999948703853780e-01
3.952941176470587834e+02,9.999999926992891863e-01
4.023529411764705515e+02,9.999999896092821583e-01
4.094117647058823195e+02,9.999999852114376253e-01
4.164705882352940876e+02,9.999999789522167060e-01
4.235294117647058556e+02,9.999999700437967043e-01
4.305882352941176237e+02,9.999999573649108742e-01
4.376470588235293917e+02,9.999999393197194220e-01
4.447058823529411598e+02,9.999999136369471797e-01
4.517647058823529278e+02,9.999998770840078377e-01
4.588235294117646959e+02,9.999998250601312977e-01
4.658823529411764639e+02,9.999997510172831117e-01
4.729411764705882320e+02,9.999996456359904196e-01
4.800000000000000000e+02,9.999994956523374778e-01
4.870588235294117680e+02,9.999992821884902128e-01
4.941176470588235361e+02,9.999989783766202178e-01
5.011764705882353041e+02,9.999985459771599805e-01
5.082352941176470722e+02,9.999979305657435980e-01
5.152941176470587834e+02,9.999970546830325713e-01
5.223529411764706083e+02,9.999958080852234810e-01
5.294117647058823195e+02,9.999940338681071461e-01
5.364705882352941444e+02,9.999915087181729945e-01
5.435294117647058556e+02,9.999879148050426769e-01
5.505882352941176805e+02,9.999827997774503041e-01
5.576470588235293917e+02,9.999755198276235602e-01
5.647058823529412166e+02,9.999651586578109930e-01
5.717647058823529278e+02,9.999504121496015641e-01
5.788235294117646390e+02,9.999294242198304428e-01
5.858823529411764639e+02,9.998995532029215649e-01
5.929411764705881751e+02,9.998570393551571289e-01
6.000000000000000000e+02,9.997965316309893602e-01
6.070588235294117112e+02,9.997104141686452561e-01
6.141176470588235361e+02,9.995878477125008654e-01
6.211764705882352473e+02,9.994134053199493772e-01
6.282352941176470722e+02,9.991651306347186789e-01
6.352941176470587834e+02,9.988117743293798423e-01
6.423529411764706083e+02,9.983088608792768381e-01
6.494117647058823195e+02,9.975930906086654115e-01
6.564705882352941444e+02,9.965743724173223850e-01
6.635294117647058556e+02,9.951244843792416139e-01
6.705882352941176805e+02,9.930609349689790699e-01
6.776470588235293917e+02,9.901239935936769765e-01
6.847058823529411029e+02,9.859439993570167093e-01
6.917647058823529278e+02,9.799948333418401214e-01
6.988235294117646390e+02,9.715276981564076042e-01
7.058823529411764639e+02,9.594768698444219313e-01
7.129411764705881751e+02,9.423255595340823687e-01
7.200000000000000000e+02,9.179150013761011584e-01
7.270588235294117112e+02,8.831727374439430900e-01
7.341176470588235361e+02,8.337258999189630648e-01
7.411764705882352473e+02,7.633508159579386332e-01
7.482352941176470722e+02,6.631896592404969981e-01
7.552941176470587834e+02,5.206355513046301287e-01
7.623529411764706083e+02,3.177457848982810917e-01
7.694117647058823195e+02,4.679061630278043282e-02
7.764705882352941444e+02,1.372001896735146722e-03
7.835294117647058556e+02,4.023005793435318277e-05
7.905882352941175668e+02,1.179632160314602525e-06
7.976470588235293917e+02,3.458936191240635339e-08
8.047058823529411029e+02,1.014234773989558550e-09
8.117647058823529278e+02,2.973955343190742542e-11
8.188235294117646390e+02,8.720279180039553661e-13
8.258823529411764639e+02,2.556974137218903792e-14
8.329411764705881751e+02,7.497600252721580719e-16
8.400000000000000000e+02,2.198458276576420618e-17
8.470588235294117112e+02,6.446354341301690381e-19
8.541176470588235361e+02,1.890210277646461659e-20
8.611764705882352473e+02,5.542504653877054682e-22
8.682352941176470722e+02,1.625182034059001326e-23
8.752941176470587834e+02,4.765384620797273431e-25
8.823529411764706083e+02,1.397313661375698367e-26
8.894117647058823195e+02,4.097225352485000731e-28
8.964705882352941444e+02,1.201394937520135204e-29
9.035294117647058556e+02,3.522749352860681687e-31
