# Di Barba, 2018, Fig8a
# t[s], T[C]
0.6026516673362796, 23.67758186397984
3.6159100040176777, 25.69269521410581
6.026516673362796, 36.7758186397985
8.738449176376054, 60.957178841309826
13.459220570510245, 160.7052896725441
18.380875853756528, 256.4231738035265
25.010044194455602, 390.42821158690174
31.137002812374448, 487.15365239294715
36.96263559662515, 555.6675062972292
43.59180393732422, 621.1586901763225
50.12053033346726, 663.4760705289673
58.15588589795098, 703.7783375314862
67.99919646444356, 737.0277078085643
74.62836480514262, 748.1108312342569
85.3756528726396, 775.3148614609572
94.51586982723985, 795.4659949622167
104.86139011651265, 825.6926952141057
117.21574929690638, 861.9647355163729
128.06347930895942, 901.2594458438286
137.7059059863399, 934.5088161209069
148.754519887505, 978.8413098236776
158.99959823222179, 1014.1057934508817
169.4455604660506, 1050.3778337531487
178.78666130976296, 1080.6045340050377
194.55604660506228, 1125.9445843828717
207.91482523101647, 1162.2166246851386
218.86299718762555, 1193.4508816120906
231.31779831257532, 1217.632241813602
246.38408999598232, 1241.8136020151135
