# Temperature[C], Thermal Conductivity [W/(m K)]
149.29512913437947, 50.015433065230425
203.74969233511285, 48.69176813720666
251.9983364877825, 46.58862158124055
301.351462221581, 44.59909817218827
360.42764712039815, 43.36445295375449
401.610325092158, 42.653413615094884
450.0173989798256, 41.21545453732117
508.9396807075018, 39.271559321124066
561.2169666929773, 38.235978277401514
610.4116626917778, 35.41150367262219
664.3411444850892, 33.973768262460524
715.577320783435, 31.904842851135786
762.4272567042653, 28.403550052338225
810.6170555267931, 25.17535540783553
858.3994636021827, 25.699184955221746
908.9792881412515, 26.084116915534164
961.8495539920049, 26.95507859679887
1011.4969063765138, 27.484723502098003
1065.8790445555337, 28.241838368836838
1120.3471874478382, 28.782442987125695
1170.9224854230497, 29.266012364345592
1229.6320186494431, 29.97123634509228
1400.0000000000000, 30.64420344189628
1480.0000000000002, 120.0
2000.0000000000000, 120.0
