# From Godiak, J., & Baughman, R. H. (1984). A general heat source model for numerical
# analysis of welding processes. Journal of Applied Physics, 55(1), 43-48.
# Figure 8: Temperature distribution along the centerline of the weld pool at t=21.5s, with a heat source velocity of 0.0015 m/s.
# Position[m], Temperature[°C]
0.000165470714504753, 1840.6414713468655
0.0016343452928549512, 1815.4736960152989
0.0026412756823060435, 1795.446899181339
0.004599202698558725, 1753.5281514316237
0.006933455995093528, 1701.0087178246163
0.009105550444648882, 1638.608689493162
0.010383072677092917, 1599.4935752524746
0.01239865072063784, 1483.8835341128415
0.013699969334559954, 1382.1086865419688
0.015197178779515487, 1261.540640881108
0.01654204231830727, 1131.4284365168835
0.018301502606562402, 972.6306345655547
0.01989267095982827, 841.4855125927412
0.021763017479300834, 730.6327948389531
0.024354124501686603, 597.2919851495958
0.02759484820607176, 459.7368716171947
0.031856731064090774, 319.0652981000216
0.033304998466728006, 276.03690171936483
0.03437939282428703, 261.393081222738
0.0352556884391291, 254.8709443227895
