# Temperature [C], Volumetric Heat Capacity [J/(mm^3 K)]
150.13018343360633, 0.004187226143964604
194.41706751396208, 0.004376104325204487
241.43020353726268, 0.004441117688666928
294.2881099130637, 0.004581170572848671
341.34047258302536, 0.004809996724408849
395.62034490029043, 0.004971825168882832
446.13445913809215, 0.005169162920308189
492.8141686647739, 0.005426344297860421
547.6726340202896, 0.005720862667280642
601.1679734043333, 0.0060671828491946295
643.3464252266563, 0.006493816728301583
693.497692982843, 0.0068202412544089925
753.5831090059474, 0.0072775802401150716
789.1420642042139, 0.012330554619295605
847.5799610675531, 0.008264112338534718
899.1237747802081, 0.006409638782999206
948.3434096781942, 0.005631306106366513
993.6109599250769, 0.005654230497177768
1046.8219061208276, 0.005597728923469847
1095.757147830521, 0.005596945629934155
1141.495417837337, 0.005626188588599992
1182.8403034181115, 0.005684570066793576
1242.2588664479783, 0.0057474946474941726
1298.3627778349835, 0.005858304573010077
1337.6972977743783, 0.005938200513650668
1586.38443094394, 0.006439717254769782
