# Frequency [Hz], Real(S21), Imag(S21)
1.388000000000000000e+10, -6.866186451350342335e-01, -7.246100204981372750e-01
1.390000000000000000e+10, -7.698103795479307454e-01, -6.310695946452916649e-01
1.392000000000000000e+10, -8.384994250496601298e-01, -5.300019028998909087e-01
1.394000000000000000e+10, -8.929741379425221171e-01, -4.235869206989248958e-01
1.396000000000000000e+10, -9.336711913472260926e-01, -3.135663884124037515e-01
1.398000000000000000e+10, -9.610382878951078123e-01, -2.013407304204956061e-01
1.400000000000000000e+10, -9.754578920160847932e-01, -8.807712754586424775e-02
1.402000000000000000e+10, -9.772182275542969920e-01, 2.518959690198915163e-02
1.404000000000000000e+10, -9.665117772809908026e-01, 1.374886887665784374e-01
1.406000000000000000e+10, -9.435090866545520205e-01, 2.477334804793588086e-01
1.408000000000000000e+10, -9.082930085296552214e-01, 3.549471236670585506e-01
1.410000000000000000e+10, -8.610316122634668057e-01, 4.579260408849828434e-01
1.412000000000000000e+10, -8.019545169651967065e-01, 5.554166737876183868e-01
1.414000000000000000e+10, -7.314165072019450653e-01, 6.460785882889321652e-01
1.416000000000000000e+10, -6.499345008750923025e-01, 7.285075568276034863e-01
1.418000000000000000e+10, -5.582156386920251734e-01, 8.012647196828455165e-01
1.420000000000000000e+10, -4.571599013121107613e-01, 8.629190844734433430e-01
1.422000000000000000e+10, -3.479725515001383385e-01, 9.120145452134021946e-01
1.424000000000000000e+10, -2.319512158964150972e-01, 9.472393281663555875e-01
1.426000000000000000e+10, -1.107107390151319398e-01, 9.672976818532983412e-01
1.428000000000000000e+10, 1.345561689313536785e-02, 9.710397866498765573e-01
1.430000000000000000e+10, 1.391148160695830083e-01, 9.574293546181179559e-01
1.432000000000000000e+10, 2.631909832123522919e-01, 9.257035102466782961e-01
1.434000000000000000e+10, 3.828590891532881457e-01, 8.754043444229968607e-01
1.436000000000000000e+10, 4.948121115081537957e-01, 8.065673486945365012e-01
1.438000000000000000e+10, 5.953995143849661886e-01, 7.199236634958943171e-01
1.440000000000000000e+10, 6.807880314047443093e-01, 6.171320907031787595e-01
1.442000000000000000e+10, 7.472561294999294779e-01, 5.009830221434173891e-01
1.444000000000000000e+10, 7.916290667975788287e-01, 3.754896904231984633e-01
1.446000000000000000e+10, 8.118018554602374204e-01, 2.457716754852617702e-01
1.448000000000000000e+10, 8.072296606381360595e-01, 1.176678502032975637e-01
1.450000000000000000e+10, 7.792234989042017279e-01, -2.900705828116044004e-03
1.452000000000000000e+10, 7.309139714327813619e-01, -1.106889926123821172e-01
1.454000000000000000e+10, 6.668473589670979029e-01, -2.018038912367189630e-01
1.456000000000000000e+10, 5.923137216920097980e-01, -2.741058752830787260e-01
1.458000000000000000e+10, 5.126010818383029966e-01, -3.272460894504038986e-01
1.460000000000000000e+10, 4.323728587286397307e-01, -3.623813081978901618e-01
1.462000000000000000e+10, 3.552881426796971054e-01, -3.817023594126132124e-01
1.464000000000000000e+10, 2.838813319635444810e-01, -3.879298807955492978e-01
1.466000000000000000e+10, 2.196420563272429571e-01, -3.838899458954117550e-01
1.468000000000000000e+10, 1.632083207178253170e-01, -3.722201819392024214e-01
1.470000000000000000e+10, 1.145954216347658261e-01, -3.552062571271928371e-01
1.472000000000000000e+10, 7.340949542478450440e-02, -3.347210804840109466e-01
