# Time [ms], Ohmic Heating [mW]
# Figure 2(a) of Berger et al. 2017, "Benchmark on the 3D Numerical Modeling of a
# Superconducting Bulk
0.03780872855382327, -0.0019227673540932473
0.6477047270805072, 0.11099509917902299
1.0340431212628043, 0.3172789711853191
1.243592356982794, 0.40106467652792915
1.4231299928334304, 0.5714308072045645
1.619468804977251, 0.7861770913448638
1.8324758025728838, 0.938187501117888
2.0558560857954413, 1.0661297823248495
2.2278132436879416, 1.1570252553256184
2.4037601268215667, 1.2149206746677637
2.6797604529465207, 1.257892289255755
2.9714980286336927, 1.2821839954211307
3.2971482688704286, 1.2597368044500885
3.537906022032109, 1.1887732744280883
3.810714567964165, 1.0869672145808364
4.2463039037341295, 0.8724445080398504
4.617481342000151, 0.6239603641631936
5.028556032677425, 0.37529735820708643
5.4217212900500895, 0.17028787851687538
5.786071865125741, 0.06187510060991981
6.2418314785036175, 0.03614131892897387
6.692094137104834, 0.03331306229766216
7.132249491761865, 0.03331306229766216
7.58002965465749, 0.05807428142159568
8.119573498098998, 0.15054597649752272
8.637040861872945, 0.29172405158382353
9.060350709956337, 0.4008299200486505
9.43569519458531, 0.5998586989572342
9.835244012343775, 0.8990278845981865
10.23501448150453, 1.1919480763383354
10.65686143033284, 1.4091760718310113
10.980871450192668, 1.565110268471981
11.258467666414075, 1.6599630649805936
11.621222351393277, 1.772512028474843
12.017402067837015, 1.8484725178414927
12.319113956627, 1.8739491852832282
13.066522485131134, 1.7321115562789535
13.79965666332813, 1.2844309502942282
14.176331056370811, 1.0026561018798403
14.5903758758387, 0.7034980951188536
14.988195812659347, 0.4135962009694322
15.373204298427934, 0.18980620293691539
15.850774409790631, 0.07836394855926573
16.269119266462845, 0.03751632116474972
16.79022171323426, 0.032251068700924576
17.488290639589813, 0.054552934232413475
18.14273856997573, 0.14863438802339507
18.62159425947167, 0.2735919082795254
18.907879210662642, 0.36372721744262976
19.244656351294065, 0.4705973099143252
19.44822099915237, 0.597935931603141
19.628423589209863, 0.745027634191275
20.01480631367262, 1.0239965837342824
