# Time [ms], Ohmic Heating [mW]
# Figure 2(b) of Berger et al. 2017, "Benchmark on the 3D Numerical Modeling of a
# Superconducting Bulk
0.22418079961328313, 0.932132741162533
0.625590783890953, 7.05534781909215
0.834073184214493, 10.666484660273692
1.0511226987845697, 14.274696398711002
1.243140924243259, 17.27780188279113
1.4570316145660092, 19.91955967453357
1.6261722947183026, 21.442758176880965
1.8696889276030988, 22.73896870627581
2.047061695187818, 23.21147030289439
2.428130765751644, 22.611434226627214
2.8453827322393903, 20.2614066819097
3.241719453331962, 17.05549407422936
3.6156572388525814, 13.86596204191672
4.030420434721222, 10.305136967935997
4.422162502363135, 6.957844394284349
4.829459386374459, 3.8392948552317887
5.239675789765889, 1.5052578721827619
5.568002067594053, 0.4754266993628221
6.013874896201514, 0.28119987714568545
6.476164038700383, 0.28119987714568545
6.912799699433086, 0.7028046860145958
7.440419070683479, 2.9395332511054515
8.039590597233158, 7.244894476918502
8.426067957796194, 11.251310202270858
8.814220452429781, 15.524690304746956
9.219842202370554, 20.151617825576125
9.639917966291515, 24.12429736594498
10.01888115402379, 27.199165370683648
10.29819779504495, 28.679852379814843
10.573111226509237, 29.618615353864307
10.858649794078163, 29.9286762447531
11.175728743146909, 29.40547286723446
11.548948614065862, 28.094246810419218
11.952320898254749, 26.10342188269363
12.387089981023124, 23.536156707504354
12.753417871766093, 20.90102914864885
13.126589881711604, 18.082205137455457
13.418158931934515, 15.640524373418618
13.822201269751623, 12.22556442295036
14.198005633236573, 8.855261041044068
14.481534039920836, 6.505428503176178
14.916398844636102, 3.218978066604595
15.350497873776256, 0.9617737823041013
15.84825199759738, 0.33053661009843543
16.32422937850133, 0.30538072649802145
16.70170887605683, 0.4081493362454399
17.127623678738, 1.6058814065844103
17.479114667713226, 3.546394567109167
17.8373540539441, 5.789948371936561
18.194253332918535, 9.185797651142495
18.532343249329347, 12.65691957430005
18.849517920344983, 16.009282326041703
19.061350588809628, 18.721437590495366
19.34334744434367, 21.87528336932835
19.615628522268516, 24.334124736131358
19.94730506823778, 27.020149082736534
